"ID";"RegioS";"Perioden";"TotaleBevolking_1";"BinnenlandsMigratiesaldo_71";"BinnenlandsMigratiesaldoRelatief_72";"Migratiesaldo_76";"TotaalParticuliereHuishoudens_140";"BedrijfsvestigingenTotaal_168";"Naam_294"
"277";"PV26  ";"2008JJ00";" 1201350";"    1041";"     0.9";"    1330";"    36.9";"";"                                                  "
"278";"PV26  ";"2009JJ00";" 1210869";"     979";"     0.8";"    1817";"    37.7";"";"                                                  "
"279";"PV26  ";"2010JJ00";" 1220910";"     -84";"    -0.1";"    1306";"    37.7";"";"                                                  "
"280";"PV26  ";"2011JJ00";" 1228794";"    1113";"     0.9";"    1229";"    37.6";"";"                                                  "
"281";"PV26  ";"2012JJ00";" 1237117";"    1628";"     1.3";"     647";"    37.5";"";"                                                  "
"282";"PV26  ";"2013JJ00";" 1245294";"    2202";"     1.8";"     913";"    37.9";"  108900";"                                                  "
"283";"PV26  ";"2014JJ00";" 1253672";"    2465";"     2.0";"    1673";"    38.2";"  110870";"                                                  "
"284";"PV26  ";"2015JJ00";" 1263572";"    2562";"     2.0";"    2594";"    39.9";"  116060";"                                                  "
"285";"PV26  ";"2016JJ00";" 1273613";"    2157";"     1.7";"    3861";"";"  120685";"                                                  "
"286";"PV26  ";"2017JJ00";" 1284504";"";"";"";"";"  123940";"                                                  "
"287";"PV26  ";"2018JJ00";" 1295618";"";"";"";"";"";"                                                  "
"288";"PV27  ";"1995JJ00";" 2463611";"   -3043";"    -1.2";"    -971";"";"";"                                                  "
"289";"PV27  ";"1996JJ00";" 2468432";"    -417";"    -0.2";"   -2268";"";"";"                                                  "
"290";"PV27  ";"1997JJ00";" 2474754";"   -2367";"    -1.0";"    3744";"";"";"                                                  "
"291";"PV27  ";"1998JJ00";" 2486105";"   -2629";"    -1.1";"    8757";"";"";"                                                  "
"292";"PV27  ";"1999JJ00";" 2503158";"   -2288";"    -0.9";"    6386";"";"";"                                                  "
"293";"PV27  ";"2000JJ00";" 2518354";"   -6016";"    -2.4";"   10470";"";"";"                                                  "
"294";"PV27  ";"2001JJ00";" 2534599";"   -6372";"    -2.5";"   10511";"";"";"                                                  "
